id,card_name,display_name,card_set,card_type,effect_text,flavor_text,source_file
"Vedah, Sage of Swords","Vedah, Sage of Swords","Vedah, Sage of Swords",promo,Hero,Reveal the top card of the center deck.  Draw it or defeat it.,,promo_cards.lua
Giant Rat,Giant Rat,Giant Rat,promo,Monster,"Any card underneath Giant Rat cannot be acquired, banished, or defeated until Giant Rat is banished or defeated.
Reward: Gain 1H.",,promo_cards.lua
Rat King,Rat King,Rat King,promo,Monster,"When Rat King enters the center row, place a Giant Rat on top of each other center row space.
Reward: Gain 4H and defeat all Giant Rats in play.",,promo_cards.lua
Pathwarden,Pathwarden,Pathwarden,promo,Hero,Gain 2R.  You may spend R as though it was P this turn.,,promo_cards.lua
Deep Drone,Deep Drone,Deep Drone,promo,Hero,Gain 2R.  Put the next construct you acquire this turn directly into play.,,promo_cards.lua
Void Mesmer,Void Mesmer,Void Mesmer,promo,Hero,"Gain 2P.  The next time you defeat a Monster this turn, you may acquire a Hero of equal or lesser cost.",,promo_cards.lua
"Kythis, the Gatekeeper","Kythis, the Gatekeeper","Kythis, the Gatekeeper",promo,Monster,"When Kythis enters the center row, take the top card of the center deck and place it face down underneath him.
",,promo_cards.lua
Journeyman Sage,Journeyman Sage,Journeyman Sage,promo,Hero,"FATE: When this enters the center row, each player may banish a Hero in their hand to acquire a Mystic or Heavy Infantry and add it to their hand.
",,promo_cards.lua
Nethersnare,Nethersnare,Nethersnare,promo,Construct,"Once per turn, if there is no Monster under this, you may put a Monster from the center row under it.
You may defeat Monsters under this as though they were in the center row.
If this leaves play, put any monster under this on top of the center deck.",,promo_cards.lua
Askara of Fortune,Askara of Fortune,Askara of Fortune,promo,Hero,Each player reveals the top card of their deck. Choose a Hero revealed this way and copy its effect.,,promo_cards.lua
Hedron Flare,Hedron Flare,Hedron Flare,promo,Construct,"Once per turn, you may acquire a Mechana Hero in the center row without paying its cost.",,promo_cards.lua
"Cetra, Guide of Ogo","Cetra, Guide of Ogo","Cetra, Guide of Ogo",promo,Hero,Acquire all Heroes in the center row without paying their costs. Put them on top of your deck in any order.,,promo_cards.lua
Ring of Life,Ring of Life,Ring of Life,promo,Construct,"Once per turn, if you have played a Lifebound Hero, gain 1R. When Ring of Life enters play, choose a faction. Your Heroes of that factions are also Lifebound Heroes.",,promo_cards.lua
Ender of Days,Ender of Days,Ender of Days,promo,Monster,Reward: Gain 10H. Remove all Honor from the Honor Pool.,,promo_cards.lua
Leprechaun,Leprechaun,Leprechaun,promo,Hero,Gain 2R.  Acquire a Pot of Gold from the End of the Rainbow or from another player's control.,,promo_cards.lua
Pot of Gold,Pot of Gold,Pot of Gold,promo,Construct,"When you play this, draw a card.  When you play a Leprechaun, gain 1H.",,promo_cards.lua
"Miles, Golden Prodigy","Miles, Golden Prodigy","Miles, Golden Prodigy",promo,Hero,"Draw a card. Whenever you play a card of another faction this turn, draw a card. This only happens once per faction.",,promo_cards.lua
Control Room,Control Room,Control Room,promo,Construct,"Once per turn, you may put a Mechana Construct you control on top of the center deck.
If you do, acquire a Mechana Construct in the center row and put it in your hand.",,promo_cards.lua
Soul Collector,Soul Collector,Soul Collector,promo,Construct,"Once per turn, add a Soul counter to this if you've defeated a Monster in the center row.
Once per turn, gain power equal to the number of Soul counters on this.",,promo_cards.lua
Arha Sanctuary,Arha Sanctuary,Arha Sanctuary,promo,Construct,"When this enters play, put the top card of your deck under this face up.
Once per turn, you may swap a card in your hand for the card under Arha Sanctuary.
When Arha Sanctuary leaves play of the game ends, put the card under it into your discard pile.",,promo_cards.lua
Moon Staff,Moon Staff,Moon Staff,promo,Construct,"Once per turn, you may spend 4R to double your power.",,promo_cards.lua
Constricting Horror,Constricting Horror,Constricting Horror,promo,Monster,Reward: Gain 4H. Reveal cards from the center deck until you reveal a Hero. Acquire that Hero without paying its cost and banish each other card revealed this way.,,promo_cards.lua
Big Bad Bunny,Big Bad Bunny,Big Bad Bunny,promo,Monster,FATE: Place a card from the center deck facedown under this and each other card in the center row. ,,promo_cards.lua
Lotus Siren,Lotus Siren,Lotus Siren,promo,Hero,"Gain 2R.
Whenever you acquire a Hero or Treasure card from the center row this turn, gain 1H. (Gain honor for each card acquired.)",,promo_cards.lua
Aether Channeler,Aether Channeler,Aether Channeler,promo,Hero,Banish a card from your hand.  Replace it with a random hero and put it in your hand.,,promo_cards.lua
Spirit of the Ancients,Spirit of the Ancients,Spirit of the Ancients,promo,Hero,Choose a Lifebound Hero that hasn't been chosen with this before. This card counts as a copy of that Hero.,,promo_cards.lua
Temporal Excavator,Temporal Excavator,Temporal Excavator,promo,Construct,:  Add one card and if it is already there then banish it and replace it.,,promo_cards.lua
Eternal Tormentor,Eternal Tormentor,Eternal Tormentor,promo,Hero,Defeat a random Monster in the void without paying its costs and put it on the bottom of the center deck.,,promo_cards.lua
Explosive Swarm,Explosive Swarm,Explosive Swarm,promo,Monster,"Reward: Gain 4H. When an adjacent non-Monster card would be replaced,replace it with a copy of this Monster instead",,promo_cards.lua
Portal,Portal,Portal,promo,Portal,This is any hero or construct that could be found in the center deck of any Ascension set. You never know what you're going to get!,,promo_cards.lua
Aether Curator,Aether Curator,Aether Curator,promo,Hero,"Banish a card in the center row. Replace it with a Portal.
",,promo_cards.lua
Aetherspring Witch,Aetherspring Witch,Aetherspring Witch,promo,Hero,"Choose one: Gain 3H, or acquire a Portal in the center row without paying its cost.",,promo_cards.lua
Destroyer's Gate,Destroyer's Gate,Destroyer's Gate,promo,Construct,"After a certain amount of time, this transforms into something awesome!",,promo_cards.lua
Aether Ritualist,Aether Ritualist,Aether Ritualist,promo,Hero,"Gain 2P.
The next time you defeat a Monster in the center row this turn, you may acquire a Portal without paying its cost.",,promo_cards.lua
Tollmaster Ky'lek,Tollmaster Ky'lek,Tollmaster Ky'lek,promo,Monster,"FATE: Banish all other cards in the center row and replace them with Portals.
",,promo_cards.lua
