id,display_name,effect_text,flavor_text,source
Militia,民兵,获得1战力。,,official-anshashen
Apprentice,学徒,获得1符文。,,official-anshashen
Mystic,秘教士,获得2符文。,,official-anshashen
Heavy Infantry,重装步兵,获得2战力。,,official-anshashen
Cultist,邪教徒,奖励：获得1荣誉。,,official-anshashen
Arha Initiate,亚哈新兵,抽一张牌。,,official-anshashen
Arha Templar,亚哈圣殿武士,击败一个战力值不高于4的怪物。,,official-anshashen
Ascetic of the Lidless Eye,无目之眼苦行僧,抽两张牌。,,official-anshashen
Master Dhartha,达萨大师,抽三张牌。,,official-anshashen
Temple Librarian,神殿图书管理员,弃一张牌。若你如此做，抽两张牌。,,official-anshashen
Oziah the Peerless,无双的奥齐亚,击败一个战力值不高于6的怪物。,,community
Seer of the Forked Path,歧路预言者,抽一张牌。你可以放逐一张手牌。,,community
Wolf Shaman,狼萨满,获得1符文。抽一张牌。,,official-anshashen
Flytrap Witch,捕蝇草女巫,获得2荣誉。抽一张牌。,,official-anshashen
Twofold Askara,双重阿斯卡拉,复制本回合打出的一张英雄的效果。,,community
Runic Lycanthrope,符文狼化人,获得2符文。若你本回合打出过生命英雄，获得2战力。,,official-anshashen
Snapdragon,金鱼草,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,community
Landtalker,大地说书人,获得3符文。,,official-anshashen
Mechana Initiate,机械新兵,获得1符文或1战力。,,official-anshashen
Rocket Courier X-99,火箭信使X-99,每回合一次，当你获取另一张机械神器时，你可以将其直接进入战场。,,official-anshashen
Watchmaker's Altar,制表师祭坛,每回合一次，获得1符文。你只能用它来获取机械神器。,,official-anshashen
Hedron Link Device,多面体连接装置,你可以将所有神器视为机械神器。,,community
Yggdrasil Staff,世界树法杖,每回合一次，获得1战力。若你本回合打出过生命英雄，获得2荣誉。,,community
Void Initiate,虚空新兵,获得1符文。你可以放逐一张手牌或弃牌堆中的卡牌。,,official-anshashen
Voidthirster,渴虚者,每回合一次，获得1战力。每回合你首次击败中央牌列中的怪物时，获得1荣誉。,,community
Shade of the Black Watch,黑卫之影,击败一个战力值不高于3的怪物。你可以放逐一张手牌或弃牌堆中的卡牌。,,community
Avatar of the Fallen,堕落者化身,除非被击败，否则此怪物不可被放逐。奖励：获得4荣誉。你可以无需支付费用获取或击败中央牌列中的任意一张卡牌。,,official-anshashen
Earth Tyrant,大地暴君,奖励：获得5荣誉。抽两张牌。,,official-anshashen
Mephit,恶臭精,奖励：获得2荣誉。你可以放逐中央牌列中的一张卡牌。,,official-anshashen
Sea Tyrant,海中暴君,奖励：获得5荣誉。每位对手须选择一张其控制的神器，将其余神器置入弃牌堆。,,community
Corrosive Widow,腐蚀寡妇,奖励：获得3荣誉。每位对手须将其控制的一张神器置入弃牌堆。,,community
Samael the Fallen,堕落之神萨麦尔,不可放逐。,,official-anshashen
Samael's Trickster,萨麦尔的诡术师,奖励：获得1荣誉。获得1符文。,,community
The All-Seeing Eye,全视之眼,每回合一次，你可以抽一张牌。,,community
Tablet of Time's Dawn,时晓石板,放逐此神器，然后在本回合后再进行一个额外回合。,,community
"Cetra, Weaver of Stars",织星者塞特拉,获取任意一个英雄。将其放到你的牌库顶。,,community
Druids of the Stone Circle,石环德鲁伊,无需支付费用获取一个费用不高于3符文的英雄。将其放到你的牌库顶。,,official-anshashen
Lifebound Initiate,生命新兵,获得1符文和1荣誉。,,official-anshashen
Avatar Golem,化身魔像,获得2战力。你每控制一种神器，获得1荣誉。,,community
Fanatic,狂信者,奖励：获得2荣誉。,,community
