english,zh_hans,zh_hant,source,notes
Ascension,创升纪元,创升纪元,official-chuangsheng,游戏内系列名。方盒子365/维基作「暗杀神」，游戏内不使用。
Deckbuilding Game,牌组构筑游戏,牌组构筑游戏,community,
Vigil,祈夜,祈夜,official-anshashen,维基/360百科。世界与王都同名。
Godslayer,弑神者,弑神者,official-anshashen,荣誉最高者获得的称号。
Samael,萨麦尔,萨麦尔,official-anshashen,
Samael the Fallen,堕落之神萨麦尔,堕落之神萨麦尔,official-anshashen,维基亦作「萨麦尔 堕落之神」。
Arha,亚哈,亚哈,official-anshashen,官方卡名「亚哈新兵」。360百科作「阿罗汉」，不用。
Ogo,奥戈,奥戈,community,360百科作「奥歌」；卡名与扩展沿用「奥戈」。
Hedron,多面体,多面体,community,机械派故乡。360百科未译专名。
Logos,逻各斯,逻各斯,community,
Xeron,泽伦,泽伦,community,卡名用「泽伦」。《创升纪元：元素的馈赠》背景作「希戎」。
Elements,元素,元素,official-chuangsheng,《创升纪元：元素的馈赠》
Deofol,迪奥弗,迪奥弗,community,萨麦尔位面。
Nyx,尼克斯,尼克斯,new,黑暗释放。
Erabus,厄拉布斯,厄拉布斯,new,萨麦尔与尼克斯之子。
Aklys,阿克里斯,阿克里斯,new,暗影之战。
Aklys the Scourge,天灾阿克里斯,天灾阿克里斯,new,
Adayu,阿达尤,阿达尤,community,领域解开。
Kythis,凯西斯,凯西斯,community,灵魂风暴守门人。
Gatekeeper Kythis,守门人凯西斯,守门人凯西斯,community,
Well of Souls,灵魂之井,灵魂之井,community,
New Vigil,新祈夜,新祈夜,community,
Fallen One,堕落者,堕落者,official-anshashen,
the Cult,教团,教团,community,
Pasythea,帕西提亚,帕西提亚,community,救赎 / 梦境。卡表同名。
Alosya,阿洛西亚,阿洛西亚,community,上古山谷。
Nairi,奈莉,奈莉,community,
Enlightened,圣贤,圣贤,community,360百科/方塔桌游。勿用「启迪」。
Lifebound,命约,命约,community,360百科/方塔桌游。勿用「生命」（与上古山谷生命指示物冲突）。
Mechana,机械,机械,community,360百科/方塔桌游。
Void,虚空,虚空,official-anshashen,派系名。区域名用「虚空区」。
Common,普通,普通,community,图鉴侧栏。勿用「中立」。
Monster,怪物,怪物,official-anshashen,图鉴侧栏 / 卡牌类型。
Hero,英雄,英雄,official-anshashen,
Construct,神器,神器,official-anshashen,早期官方译法。勿用「建筑/构装」。
Event,事件,事件,community,
Treasure,宝藏,宝藏,community,灵魂风暴起。
Soul Gem,灵魂宝石,灵魂宝石,community,不朽英雄。
Portal,传送门,传送门,community,推广卡。
Temple,神殿,神殿,community,上古山谷 / 元素的馈赠。
Rune,符文,符文,official-anshashen,维基。勿用「符石/魔力」。
Runes,符文,符文,official-anshashen,
